class,order,family,genus,species,subspecies,common_name,female_maturity_d,adult_body_mass_g,maximum_longevity_y,C,C_E,E_alpha,I,taxaname,I_m,log_bodymass,log_C_E,log_I_m,log_E_alpha,Species,Age_at_maturity_avg_y
Mammalia,Chiroptera,Vespertilionidae,Plecotus,teneriffae,NA,Canary Long-eared Bat,351.665,9.195,30,0.7903752039151712,22.94975667612684,30.137588329802508,5.7,Plecotus_teneriffae,0.6199021207177814,2.2186598580562844,3.1333073341029345,-0.47819368321578,3.405773174396483,NA,NA
Mammalia,Dasyuromorphia,Dasyuridae,Sminthopsis,fuliginosus,NA,Sooty Dunnart,182.075,16.35,2,2.9749235474006115,4.465849273176658,3.009336811753398,3.04,Sminthopsis_fuliginosus,0.18593272171253822,2.7942278973432626,1.4964594029999403,-1.682370381925132,1.1017197261638039,NA,NA
Mammalia,Dasyuromorphia,Dasyuridae,Sminthopsis,murina,NA,Slender-tailed Dunnart,182.075,16.35,2,2.9749235474006115,4.465849273176658,3.009336811753398,3.04,Sminthopsis_murina,0.18593272171253822,2.7942278973432626,1.4964594029999403,-1.682370381925132,1.1017197261638039,NA,NA
Mammalia,Didelphimorphia,Didelphidae,Didelphis,aurita,NA,Big-eared Opossum,178,1149.875,7,1.0347576910533756,6.7386822784489695,13.353932584269662,95.955,Didelphis_aurita,0.08344820089140124,7.0474085197973215,1.9078643981615833,-2.4835291882271107,2.5918109170681087,NA,NA
Mammalia,Didelphimorphia,Didelphidae,Didelphis,marsupialis,NA,Common Opossum,178,1149.875,7,1.0347576910533756,6.7386822784489695,13.353932584269662,95.955,Didelphis_marsupialis,0.08344820089140124,7.0474085197973215,1.9078643981615833,-2.4835291882271107,2.5918109170681087,NA,NA
Mammalia,Diprotodontia,Macropodidae,Petrogale,herberti,NA,Herbert's Rock-wallaby,556.885,6465.8,14.4,0.16823789786260013,2.165943094286609,8.438214353053144,734.995,Petrogale_herberti,0.11367425531256767,8.774282026783187,0.7728558759744938,-2.1744183303145777,2.1327707166804064,NA,NA
Mammalia,Diprotodontia,Macropodidae,Petrogale,lateralis,NA,Black-flanked Rock-wallaby,540,5283.94,14.4,0.20586770478090213,2.659923549991053,8.733333333333333,734.995,Petrogale_lateralis,0.1390998005276366,8.572427310543683,0.9782973817757213,-1.9725636140750722,2.1671471220989416,NA,NA
Mammalia,Diprotodontia,Macropodidae,Petrogale,penicillata,NA,Brush-tailed Rock-wallaby,556.885,6465.8,14.4,0.16823789786260013,2.165943094286609,8.438214353053144,734.995,Petrogale_penicillata,0.11367425531256767,8.774282026783187,0.7728558759744938,-2.1744183303145777,2.1327707166804064,NA,NA
Mammalia,Diprotodontia,Macropodidae,Petrogale,purpureicollis,NA,Purple-necked Rock-wallaby,540,5283.94,14.4,0.20586770478090213,2.659923549991053,8.733333333333333,734.995,Petrogale_purpureicollis,0.1390998005276366,8.572427310543683,0.9782973817757213,-1.9725636140750722,2.1671471220989416,NA,NA
Mammalia,Diprotodontia,Phalangeridae,Spilocuscus,maculatus,NA,Common Spotted Cuscus,221.76,4155.23,17,0.7335574685396477,12.024795583740168,26.980699855699857,1700,Spilocuscus_maculatus,0.40912296070253634,8.3321230607515009,2.4869708165741686,-0.893739530707193,3.2951217902393193,NA,NA
Mammalia,Diprotodontia,Phalangeridae,Spilocuscus,papuensis,NA,Waigeou Cuscus,221.76,4155.23,17,0.7335574685396477,12.024795583740168,26.980699855699857,1700,Spilocuscus_papuensis,0.40912296070253634,8.3321230607515009,2.4869708165741686,-0.893739530707193,3.2951217902393193,NA,NA
Mammalia,Diprotodontia,Phalangeridae,Trichosurus,johnstonii,NA,Coppery Brushtail,367.955,2005,15.9,0.5346967705735661,7.962653035088478,14.77230911388621,707.635,Trichosurus_johnstonii,0.3529351620947631,7.60339933974067,2.07476224019095,-1.0414709157048605,2.692754422433862,NA,NA
Mammalia,Diprotodontia,Phalangeridae,Trichosurus,vulpecula,NA,Common Brushtail,367.955,2005,15.9,0.5346967705735661,7.962653035088478,14.77230911388621,707.635,Trichosurus_vulpecula,0.3529351620947631,7.60339933974067,2.07476224019095,-1.0414709157048605,2.692754422433862,NA,NA
Mammalia,Erinaceomorpha,Erinaceidae,Erinaceus,concolor,NA,Southern White-Breasted Hedgehog,233.026,771,14,2.1122568093385214,28.223072713608016,20.928883472230567,235,Erinaceus_concolor,0.30479896238651105,6.647688373563329,3.3401398247497953,-1.1881028594191705,3.041130189226588,NA,NA
Mammalia,Erinaceomorpha,Erinaceidae,Erinaceus,roumanicus,NA,Northern White-Breasted Hedgehog,233.026,771,14,2.1122568093385214,28.223072713608016,20.928883472230567,235,Erinaceus_roumanicus,0.30479896238651105,6.647688373563329,3.3401398247497953,-1.1881028594191705,3.041130189226588,NA,NA
Mammalia,Lagomorpha,Leporidae,Lepus,corsicanus,NA,Corsican Hare,227.66128,3673.33,12,1.6253179676206604,18.4900567925013,18.239108204961333,652.495,Lepus_corsicanus,0.17763037897493555,8.208853886597367,2.9172331169195354,-1.728050410265128,2.9035680911790624,NA,NA
Mammalia,Lagomorpha,Leporidae,Lepus,europaeus,NA,European Hare,227.66128,3673.33,12,1.6253179676206604,18.4900567925013,18.239108204961333,652.495,Lepus_europaeus,0.17763037897493555,8.208853886597367,2.9172331169195354,-1.728050410265128,2.9035680911790624,NA,NA
Mammalia,Lagomorpha,Leporidae,Lepus,tibetanus,NA,Desert Hare,227.66128,2078.555,8.9,3.8670539927978815,32.00478475006697,13.269005252012992,929.16,Lepus_tibetanus,0.4470220898653151,7.639428219733022,3.465885415061804,-0.805147267546389,2.585430883364982,NA,NA
Mammalia,Lagomorpha,Leporidae,Lepus,tolai,NA,Tolai Hare,227.66128,2078.555,8.9,3.8670539927978815,32.00478475006697,13.269005252012992,929.16,Lepus_tolai,0.4470220898653151,7.639428219733022,3.465885415061804,-0.805147267546389,2.585430883364982,NA,NA
Mammalia,Lagomorpha,Leporidae,Sylvilagus,cognatus,NA,Manzano Mountain Cottontail,123,1207.19,9.8,1.9141560152088735,18.113684593236847,28.081300813008134,118.5,Sylvilagus_cognatus,0.09816184693378838,7.096050623787786,2.896667707481234,-2.3211376632125997,3.3351039033342067,NA,NA
Mammalia,Lagomorpha,Leporidae,Sylvilagus,robustus,NA,Robust Cottontail,123,1207.19,9.8,1.9141560152088735,18.113684593236847,28.081300813008134,118.5,Sylvilagus_robustus,0.09816184693378838,7.096050623787786,2.896667707481234,-2.3211376632125997,3.3351039033342067,NA,NA
Mammalia,Primates,Atelidae,Alouatta,coibensis,NA,Coiba Island Howler,1287.4428,5659.14,25,0.1166254943330612,2.504271185790803,6.087693527044464,1100,Alouatta_coibensis,0.19437582388843533,8.641027216189753,0.9179977484083841,-1.6379617574032919,1.8062692787936496,NA,NA
Mammalia,Primates,Atelidae,Alouatta,palliata,NA,Mantled Howler,1287.4428,5659.14,25,0.1166254943330612,2.504271185790803,6.087693527044464,1100,Alouatta_palliata,0.19437582388843533,8.641027216189753,0.9179977484083841,-1.6379617574032919,1.8062692787936496,NA,NA
Mammalia,Primates,Cebidae,Callithrix,geoffroyi,NA,White-headed Marmoset,477,299.605,22.79166667,1.4474524790974783,31.098252143352138,16.440164223375266,96.8,Callithrix_geoffroyi,0.3230920712271157,5.702464940422364,3.4371516164274554,-1.1298179461398328,2.7997273788345445,NA,NA
Mammalia,Primates,Cebidae,Callithrix,humeralifera,NA,Santarem Marmoset,477,299.605,22.79166667,1.4474524790974783,31.098252143352138,16.440164223375266,96.8,Callithrix_humeralifera,0.3230920712271157,5.702464940422364,3.4371516164274554,-1.1298179461398328,2.7997273788345445,NA,NA
Mammalia,Primates,Cebidae,Callithrix,kuhlii,NA,Wied's Marmoset,477,307,22.79166667,1.2612377850162866,27.097463452213287,16.440164223375266,96.8,Callithrix_kuhlii,0.31530944625407165,5.726847747587197,3.299440123955619,-1.1542007533046659,2.7997273788345445,NA,NA
Mammalia,Primates,Cebidae,Callithrix,penicillata,NA,Black-tufted Marmoset,477,307,22.79166667,1.2612377850162866,27.097463452213287,16.440164223375266,96.8,Callithrix_penicillata,0.31530944625407165,5.726847747587197,3.299440123955619,-1.1542007533046659,2.7997273788345445,NA,NA
Mammalia,Primates,Cebidae,Cebus,apella,NA,Tufted Capuchin,1727.44808,2642.5,46,0.23841059602649006,9.838553372403156,8.719539588130488,1000,Cebus_apella,0.3784295175023652,7.879480717744393,2.2863086852567185,-0.9717254387622556,2.165566437000624,NA,NA
Mammalia,Primates,Cebidae,Cebus,libidinosus,NA,Black-striped Capuchin,1727.44808,2642.5,46,0.23841059602649006,9.838553372403156,8.719539588130488,1000,Cebus_libidinosus,0.3784295175023652,7.879480717744393,2.2863086852567185,-0.9717254387622556,2.165566437000624,NA,NA
Mammalia,Primates,Cebidae,Cebus,xanthosternos,NA,Golden-bellied Capuchin,1727.44808,2642.5,46,0.23841059602649006,9.838553372403156,8.719539588130488,1000,Cebus_xanthosternos,0.3784295175023652,7.879480717744393,2.2863086852567185,-0.9717254387622556,2.165566437000624,NA,NA
Mammalia,Primates,Cebidae,Saguinus,graellsi,NA,Graells's Tamarin,850.45,450,20.2,2.03,36.27609999999999,7.669527896995708,175,Saguinus_graellsi,0.3888888888888889,6.1092475827643655,3.5911591222250325,-0.9444616088408514,2.0372550615937275,NA,NA
